編號,使用執照號碼,原建照編號,棟別編號,勘災組編號,建物名稱,地址,Latitude,Longitude,建築物用途說明,高度,樓層,分數,風險等級,張貼紅色危險標誌,張貼黃色危險標誌,綠標(未貼單/已補強),class,預定勘災日,紅黃單有無使照註記,GPS座標E,GPS座標N,勘災人員現場震損判斷,上傳NCREE,drawing,photo,GPS_lon,GPS_lat
,,,,B08,華王大飯店,花蓮市軒轅路18號,23.9753494,121.6118289,99B4:國際觀光旅館,12.0,4.0,,,,2.0,,2,6.0,,"121°36'42.4""","23°58'30.9"" ",M,,,,121.61177778,23.97525
,,,,B09,天王星,花蓮市民族里軒轅路2之2號,23.9744355,121.6117074,G3:店舖 商場 集合住宅 辦公室 避難室,25.0,8.0,,,3.0,,,3,6.0,,"121°36'41.3""","23°58'28.4"" ",C,,,,121.61147222,23.97455556
,(86)花建使字第00217號,IJ00830100005150000,,B10,統帥大樓,花蓮市明禮路5號五樓之5,23.9784247,121.6112939,G3:店舖 辦公室 住宅 補習班 防空避難室兼(停車空間 變電室),29.45,10.0,,,3.0,,,3,6.0,立面圖相符,"121°36'41.6""","23°58'41.5"" ",S,,,,121.61155556,23.97819444
,,,,B11,上毅皇官,吉安鄉宜昌村中華路二段93號,23.973712,121.5848567,H2:店舖 住宅,42.0,14.0,,,,2.0,,2,8.0,,"121°35'05.75""","23°58'24.52"" ",M,V,V,V,121.58493056,23.97347778
,,,,B12,馥邑京華公寓大樓,花蓮市主力里中和街207號、209號,23.9745591,121.5981418,集合住宅,45.0,15.0,,,3.0,,,3,7.0,有,"121°35'53.89""","23°58'29.14"" ",S,V,V,V,121.59830278,23.97476111
,,,,B13,,花蓮市主商里博愛街50號,23.9742202,121.6089996,H2:店舖 住宅,15.0,5.0,,,3.0,,,3,6.0,,"121°36'31.72""","23°58'27.28"" ",S,V,V,V,121.60881111,23.97424444
,(82)花建變使字第00011號之1,IJ00710100011980000,,B14,,花蓮市國魂里3鄰中山路475之3號,23.8280359,120.7083577,D5:補習班,13.9,4.0,,,3.0,,,3,,立面圖相符,"121°36'12.09""","23°59'03.22"" ",S,V,V,V,121.60335833,23.98422778
,(81)花建使字第00851號,IJ00800100014880000,,B14,,花蓮市國魂里3鄰中山路475之5號,23.9783642,121.6084444,H2:店舖 住宅,16.2,5.0,,,3.0,,,3,,立面圖相符,"121°36'12.09""","23°59'03.22"" ",S,V,V,V,121.60335833,23.98422778
,,,,B14,,花蓮市國魂里延平街6號2樓（中山路475之1號）1樓（同一棟建物）,23.9843465,121.6035348,H2:店舖 住宅,13.9,4.0,,,3.0,,,3,7.0,,"121°36'12.09""","23°59'03.22"" ",S,V,V,V,121.60335833,23.98422778
,,,,B15,翰品酒店,花蓮市民立里永興路2號,23.9917282,121.6266746,99B4:國際觀光旅館,30.0,10.0,,,3.0,,,3,7.0,有,"121°37'34.86""","23°59'31.06"" ",S,V,V,V,121.62635,23.99196111
,,,,B16,美崙大飯店,花蓮市林園1之1號,24.0034369,121.6320075,99B4:國際觀光旅館,45.0,15.0,,,,,1.0,1,,,"121°37'40.32""","23°59'59.79"" ",L,V,V,V,121.62786667,23.99994167
,,,,B17,,花蓮市民族里樹人街17巷1號,23.9758675,121.6128218,H2:住宅,9.0,3.0,,,3.0,,,3,,,"121°36'45.78""","23°58'33.31"" ",S,V,V,V,121.61271667,23.97591944
,,,,B17,,花蓮市民族里樹人街17巷2號,23.975743,121.6128218,H2:住宅,3.0,1.0,,,,2.0,,2,,,"121°36'46.00""","23°58'32.70"" ",N,,,,121.61277778,23.97575
,,,,B18,,壽豐鄉平和村吳全129號,23.8902876,121.5537785,H2:住宅,3.0,1.0,,,,2.0,,2,,,"121°33'13.81""","23°53'24.79"" ",N,,V,V,121.55383611,23.89021944
,,,,B19,,壽豐鄉壽文路26、28、30、32、34、36,23.8760304,121.5133971,H2:住宅,9.0,3.0,,,,2.0,,2,,,"121°30'48.16""","23°52'29.86"" ",L,V,V,V,121.51337778,23.87496111
,,,,B20,,壽豐鄉中山路五段105號,23.8691052,121.5088889,H2:住宅,6.5,2.0,,,,,1.0,1,,,"121°30'32.33""","23°52'08.82"" ",L,,V,V,121.50898056,23.86911667
,,,,B21,,壽豐鄉中山路五段107號,23.869197,121.5089074,H2:住宅,7.0,2.0,,,,,1.0,1,,,"121°30'32.42""","23°52'09.21"" ",L,,V,V,121.50900556,23.869225
,,,,C01,兆豐銀行花蓮分行,花蓮市公園路26號,23.9768127,121.6107461,銀行,,7.0,,,,,1.0,1,6.0,,"121°36'38.78""","23°58'36.43"" ",N,V,V,V,121.61077222,23.97678611
,,,,C02,中國信託銀行東花蓮分行,花蓮市公園路1-7號,23.9767624,121.6103989,G3:店舖 商場 集合住宅 辦公室 避難室,,9.0,,,,,1.0,1,6.0,,"121°36'38.78""","23°58'36.43""",M,V,V,V,121.61077222,23.97678611
